Año,Lanzamientos
1960,29
1961,41
1962,58
1963,46
1964,64
1965,70
1966,77
1967,62
1968,48
1969,38
1970,30
1971,35
1972,33
1973,25
1974,25
1975,31
1976,26
1977,26
1978,33
1979,16
1980,15
1981,19
1982,18
1983,22
1984,22
1985,18
1986,9
1987,9
1988,12
1989,18
1990,27
1991,19
1992,29
1993,25
1994,27
1995,30
1996,33
1997,38
1998,36
1999,31
2000,28
2001,22
2002,17
2003,23
2004,16
2005,12
2006,18
2007,19
2008,15
2009,24
2010,15
2011,18
2012,13
2013,19
2014,23
2015,19
2016,23
